Film_Name,Lead_Actor,Lead_Actress,Supporting_Actor,Supporting_Actress
Inception,Leonardo DiCaprio,Marion Cotillard,Joseph Gordon-Levitt,Ellen Page
The Godfather,Marlon Brando,Diane Keaton,Al Pacino,Talia Shire
Pulp Fiction,John Travolta,Uma Thurman,Samuel L. Jackson,Amanda Plummer
The Dark Knight,Christian Bale,Maggie Gyllenhaal,Heath Ledger,N/A
Titanic,Leonardo DiCaprio,Kate Winslet,Billy Zane,Frances Fisher
Avatar,Sam Worthington,Zoe Saldana,Stephen Lang,Sigourney Weaver
Forrest Gump,Tom Hanks,Robin Wright,Gary Sinise,Sally Field
The Shawshank Redemption,Tim Robbins,N/A,Morgan Freeman,N/A
Gladiator,Russell Crowe,Connie Nielsen,Joaquin Phoenix,N/A
Parasite,Kang-ho Song,Yeo-jeong Jo,Woo-sik Choi,So-dam Park
Interstellar,Matthew McConaughey,Anne Hathaway,Casey Affleck,Jessica Chastain
Joker,Joaquin Phoenix,N/A,Robert De Niro,Zazie Beetz
Black Panther,Chadwick Boseman,Lupita Nyong'o,Michael B. Jordan,Danai Gurira
Avengers: Endgame,Robert Downey Jr.,Scarlett Johansson,Chris Evans,Brie Larson
Harry Potter,Daniel Radcliffe,Emma Watson,Rupert Grint,Maggie Smith
The Matrix,Keanu Reeves,Carrie-Anne Moss,Laurence Fishburne,Gloria Foster
The Lord of the Rings,Elijah Wood,Liv Tyler,Ian McKellen,Cate Blanchett
Star Wars: A New Hope,Mark Hamill,Carrie Fisher,Harrison Ford,Alec Guinness
La La Land,Ryan Gosling,Emma Stone,John Legend,Rosemarie DeWitt
Frozen,N/A,Kristen Bell,Josh Gad,Idina Menzel
